Altium Designer Pick and Place Locations
C:\Users\Katrina Barns\Desktop\PCB_Designs\Lombardo\Deliverables\Pick Place\Pick Place for Lombardo_RevB.csv

========================================================================================================================
File Design Information:

Date:       28/08/24
Time:       14:29
Revision:   e4d10f1d50edfbab134fd8ecf9afb6c12fe6c5a0
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C41","1nF","BottomLayer","CAPC160X80X95L35","Capacitor, Chip; 1.60 mm L X 0.80 mm W X 0.95 mm H body","3375.000","2575.000","270","CAP CER 1000PF 50V C0G/NPO 0603"
"C40","1nF","BottomLayer","CAPC160X80X95L35","Capacitor, Chip; 1.60 mm L X 0.80 mm W X 0.95 mm H body","4100.000","2575.000","270","CAP CER 1000PF 50V C0G/NPO 0603"
"C39","1nF","BottomLayer","CAPC160X80X95L35","Capacitor, Chip; 1.60 mm L X 0.80 mm W X 0.95 mm H body","1800.000","4485.000","90","CAP CER 1000PF 50V C0G/NPO 0603"
"C38","1nF","BottomLayer","CAPC160X80X95L35","Capacitor, Chip; 1.60 mm L X 0.80 mm W X 0.95 mm H body","2525.000","4477.402","90","CAP CER 1000PF 50V C0G/NPO 0603"
"C37","1nF","BottomLayer","CAPC160X80X95L35","Capacitor, Chip; 1.60 mm L X 0.80 mm W X 0.95 mm H body","4100.000","4475.000","90","CAP CER 1000PF 50V C0G/NPO 0603"
"C36","1nF","BottomLayer","CAPC160X80X95L35","Capacitor, Chip; 1.60 mm L X 0.80 mm W X 0.95 mm H body","3375.000","4475.000","90","CAP CER 1000PF 50V C0G/NPO 0603"
"R65","10k","TopLayer","RESC160X85X55L30","Resistor, Chip; 1.60 mm L X 0.85 mm W X 0.55 mm H body","2725.000","3675.000","0","RES SMD 10K OHM 1% 1/10W 0603"
"R6","23.2k","BottomLayer","RESC160X85X55L30","Resistor, Chip; 1.60 mm L X 0.85 mm W X 0.55 mm H body","1520.000","3430.000","0","RES SMD 23.2K OHM 1% 1/10W 0603"
"R64","10k","BottomLayer","RESC160X85X55L30","Resistor, Chip; 1.60 mm L X 0.85 mm W X 0.55 mm H body","4150.000","3450.000","270","RES SMD 10K OHM 1% 1/10W 0603"
"R63","0","BottomLayer","RESC160X85X55L30","Resistor, Chip; 1.60 mm L X 0.85 mm W X 0.55 mm H body","4000.000","2675.000","270","RES 0 OHM JUMPER 1/10W 0603"
"U11","MAX4995BAUT+T","TopLayer","SOT23-6P95_280X145L45X42","Small Outline Transistor, SOT-23 Type, 0.95 mm pitch; 6 pin, 2.90 mm L X 1.625 mm W X 1.45 mm H body","1711.523","2680.000","270","IC CURRENT SWITCH ADJ 10% SOT-23-6"
"U10","TCA9517DR","TopLayer","SOIC8P127_490X599X175L84X41","Small Outline IC (SOIC), 1.27 mm pitch; 8 pin, 4.905 mm L X 3.895 mm W X 1.75 mm H body","2975.000","3525.000","90","Voltage Level Translator Bidirectional 1 Circuit 2 Channel 8-SOIC"
"R62","10k","TopLayer","RESC160X85X55L30","Resistor, Chip; 1.60 mm L X 0.85 mm W X 0.55 mm H body","1650.000","2475.000","0","RES SMD 10K OHM 1% 1/10W 0603"
